id,name,partOf,locationType
CRVS_MGT1010010001,CEC AMBATO,Location/MGT1010010001,CRVS_OFFICE
CRVS_MGT1010010002,CEC AMBATOLAMPY,Location/MGT1010010002,CRVS_OFFICE
CRVS_MGT1010010003,CEC AMBOHIDRATRIMO,Location/MGT1010010003,CRVS_OFFICE
CRVS_MGT1010010004,CEC AMBOHIMANJAKA,Location/MGT1010010004,CRVS_OFFICE
CRVS_MGT1010010005,CEC AMBOHIMPIHAONANA,Location/MGT1010010005,CRVS_OFFICE
CRVS_MGT1010010006,CEC AMBOHITRIMANJAKA,Location/MGT1010010006,CRVS_OFFICE
CRVS_MGT1010010007,CEC AMPANGABE,Location/MGT1010010007,CRVS_OFFICE
CRVS_MGT1010010008,CEC AMPANOTOKANA,Location/MGT1010010008,CRVS_OFFICE
CRVS_MGT1010010009,CEC ANJANADORIA,Location/MGT1010010009,CRVS_OFFICE
CRVS_MGT1010010010,CEC ANOSIALA,Location/MGT1010010010,CRVS_OFFICE
CRVS_MGT1010010011,CEC ANTANETIBE MAHAZAZA,Location/MGT1010010011,CRVS_OFFICE
CRVS_MGT1010010012,CEC ANTEHIROKA,Location/MGT1010010012,CRVS_OFFICE
CRVS_MGT1010010013,CEC ANTSAHAFILO,Location/MGT1010010013,CRVS_OFFICE
CRVS_MGT1010010014,CEC AVARATSENA,Location/MGT1010010014,CRVS_OFFICE
CRVS_MGT1010010015,CEC FIADANANA,Location/MGT1010010015,CRVS_OFFICE
CRVS_MGT1010010016,CEC IARINARIVO,Location/MGT1010010016,CRVS_OFFICE
CRVS_MGT1010010017,CEC IVATO,Location/MGT1010010017,CRVS_OFFICE
CRVS_MGT1010010018,CEC MAHABO,Location/MGT1010010018,CRVS_OFFICE
CRVS_MGT1010010019,CEC MAHEREZA,Location/MGT1010010019,CRVS_OFFICE
CRVS_MGT1010010020,CEC MAHITSY,Location/MGT1010010020,CRVS_OFFICE
CRVS_MGT1010010021,CEC MANANJARA,Location/MGT1010010021,CRVS_OFFICE
CRVS_MGT1010010022,CEC MANJAKAVARADRANO,Location/MGT1010010022,CRVS_OFFICE
CRVS_MGT1010010023,CEC MERIMANDROSO,Location/MGT1010010023,CRVS_OFFICE
CRVS_MGT1010010024,CEC TALATAMATY,Location/MGT1010010024,CRVS_OFFICE
CRVS_MGT1010020025,CEC ALAROBIA VATOSOLA,Location/MGT1010020025,CRVS_OFFICE
CRVS_MGT1010020026,CEC ALATSINAINY BAKARO,Location/MGT1010020026,CRVS_OFFICE
CRVS_MGT1010020027,CEC AMBOHIMIADANA,Location/MGT1010020027,CRVS_OFFICE
CRVS_MGT1010020028,CEC ANDOHARIANA,Location/MGT1010020028,CRVS_OFFICE
CRVS_MGT1010020029,CEC ANDRAMASINA,Location/MGT1010020029,CRVS_OFFICE
CRVS_MGT1010020030,CEC ANOSIBE TRIMOLOHARANO,Location/MGT1010020030,CRVS_OFFICE
CRVS_MGT1010020031,CEC ANTOTOHAZO,Location/MGT1010020031,CRVS_OFFICE
CRVS_MGT1010020032,CEC FITSINJOVANA BAKARO,Location/MGT1010020032,CRVS_OFFICE
CRVS_MGT1010020033,CEC MANDROSOA,Location/MGT1010020033,CRVS_OFFICE
CRVS_MGT1010020034,CEC SABOTSY AMBOHITROMBY,Location/MGT1010020034,CRVS_OFFICE
CRVS_MGT1010020035,CEC SABOTSY MANJAKAVAHOAKA,Location/MGT1010020035,CRVS_OFFICE
CRVS_MGT1010020036,CEC TANKAFATRA,Location/MGT1010020036,CRVS_OFFICE
CRVS_MGT1010020037,CEC ANJOMA FALIARIVO,Location/MGT1010020037,CRVS_OFFICE
CRVS_MGT1010020038,CEC MORARANO SOAFIRAISANA,Location/MGT1010020038,CRVS_OFFICE
CRVS_MGT1010030039,CEC ALAKAMISY,Location/MGT1010030039,CRVS_OFFICE
CRVS_MGT1010030040,CEC AMBATOMANOINA,Location/MGT1010030040,CRVS_OFFICE
CRVS_MGT1010030041,CEC AMBOASARY,Location/MGT1010030041,CRVS_OFFICE
CRVS_MGT1010030042,CEC AMBOHIBARY,Location/MGT1010030042,CRVS_OFFICE
CRVS_MGT1010030043,CEC AMBOHIMANARINA MAROVAZAHA,Location/MGT1010030043,CRVS_OFFICE
CRVS_MGT1010030044,CEC AMBOHIMIRARY,Location/MGT1010030044,CRVS_OFFICE
CRVS_MGT1010030045,CEC AMBONGAMARINA,Location/MGT1010030045,CRVS_OFFICE
CRVS_MGT1010030046,CEC AMPARATANJONA,Location/MGT1010030046,CRVS_OFFICE
CRVS_MGT1010030047,CEC ANALAROA,Location/MGT1010030047,CRVS_OFFICE
CRVS_MGT1010030048,CEC ANDROVAKELY,Location/MGT1010030048,CRVS_OFFICE
