id,name,partOf,locationType
HF1237-ljoOouu2uKq,CSB2 Tsaratanana,Location/MGM4150801152,HEALTH_FACILITY
HF1237-gdR9Zfd88cU,CSB2 Ankarongana,Location/MGM4150771089,HEALTH_FACILITY
HF1237-H0Jb0vmgXvC,CSB2 Ambandrika,Location/MGF3110560798,HEALTH_FACILITY
HF1237-wVux4oYu4wS,FSP Sainte Thérèse de l'enfant de Jésus,Location/MGU6211111618,HEALTH_FACILITY
HF1238-GKsauyjU0SF,CSB2 Vohilava,Location/MGF3080400577,HEALTH_FACILITY
HF1238-fpgSA2sn7hf,CSB2 Vohimasy,Location/MGF3110560837,HEALTH_FACILITY
HF6757-xAyIfit7Erg,FSP ANOSIALA,Location/MGT1010010010,HEALTH_FACILITY
HF1238-cK7LsgeHgAt,CSB2 Vohilava,Location/MGF3110560834,HEALTH_FACILITY
HF1238-zwhfpU5j9aV,CSB2 Tanandava,Location/MGU6201051537,HEALTH_FACILITY
HF1238-GybqKOAsGcY,CSB2 Analavory,Location/MGF3110560807,HEALTH_FACILITY
HF1238-BGH75jpxjrC,CSB2 Analamary,Location/MGU6201051512,HEALTH_FACILITY
HF1238-WosvLJR4kmV,CSB2 Morafeno,Location/MGM4150771095,HEALTH_FACILITY
HF1238-LZ0y9aPsEUh,CSB2 Maromiandra,Location/MGF3110550788,HEALTH_FACILITY
HF1238-Wiw0kxNWEIf,CSB2 Marovato,Location/MGM4150801148,HEALTH_FACILITY
HF1238-OsPHkQfUs3R,CSB2 Andasibe,Location/MGA5170871262,HEALTH_FACILITY
HF1239-WJ6F5g0zrhb,CSB1 Befotaka,Location/MGD2050300388,HEALTH_FACILITY
HF1239-HLLMAkSKxZG,CSB1 Antsatrabevoa,Location/MGD2050300388,HEALTH_FACILITY
HF1239-qTcPXhyYfIF,FSP Ambohiday Privé,Location/MGD2050300388,HEALTH_FACILITY
HF1239-B5qb7eWRn8i,CSB2 Ambatoharanana,Location/MGA5170871259,HEALTH_FACILITY
HF9018-tAcDsk4g5XB,CSB2 PORT BERGE URBAIN,Location/MGM4150801150,HEALTH_FACILITY
HF1239-VlBYwdSCyMp,CSB1 Mont Passot,Location/MGD2050300388,HEALTH_FACILITY
HF6808-DAiM3wWUhda,FSP CML CABINET DE SOINS MAHASOA,Location/MGT1010020025,HEALTH_FACILITY
HF6731-sxzZEx6k99l,FSP MIHARY,Location/MGT1010010003,HEALTH_FACILITY
