id,name,partOf,locationType
ilAQrY4NHfY,Adams (Pob.) Office MIAK,Location/PH0102801001,HEALTH_FACILITY
J9LOgnZoDdr,Bani Office QZEI,Location/PH0102802001,HEALTH_FACILITY
eewLTk7RycQ,Bani Office YJDL,Location/PH0102802001,HEALTH_FACILITY
4Pm9Sno7K1q,Bani Office QEUS,Location/PH0102802001,CRVS_OFFICE
pafbIKQoKXx,Buyon Office JJUS,Location/PH0102802002,HEALTH_FACILITY
OQ2oa54b7fm,Buyon Office MRAK,Location/PH0102802002,HEALTH_FACILITY
6ekGb7up6U4,Cabaruan Office IKAN,Location/PH0102802003,CRVS_OFFICE
ht4meWHCvif,Cabaruan Office CZXZ,Location/PH0102802003,CRVS_OFFICE
xoQlK2TJ6aq,Cabulalaan Office QUMN,Location/PH0102802004,CRVS_OFFICE
DbNSQtjaiyW,Cabulalaan Office QSCJ,Location/PH0102802004,HEALTH_FACILITY
PkanHXAzgUG,Cabusligan Office KFCZ,Location/PH0102802005,CRVS_OFFICE
p2xjvTJQENp,Cadaratan Office YOFV,Location/PH0102802006,HEALTH_FACILITY
nIvJbqFxfMZ,Cadaratan Office XQOU,Location/PH0102802006,HEALTH_FACILITY
W3YNl4K7g7o,Calioet-Libong Office RZGR,Location/PH0102802007,HEALTH_FACILITY
uX8S4uouRbh,Casilian Office NGNT,Location/PH0102802008,HEALTH_FACILITY
iPxWLDdnm0J,Casilian Office JOKL,Location/PH0102802008,CRVS_OFFICE
1MPJID03oAJ,Corocor Office DOHC,Location/PH0102802009,HEALTH_FACILITY
zd3wCgLjvbt,Corocor Office MIKO,Location/PH0102802009,CRVS_OFFICE
tJjkAPweCHj,Duripes Office IHHO,Location/PH0102802011,CRVS_OFFICE
GKbOnUuOWWs,Duripes Office FAZL,Location/PH0102802011,CRVS_OFFICE
ylgmzsmrAtE,Duripes Office NWXQ,Location/PH0102802011,HEALTH_FACILITY
MU2ED6clr7l,Ganagan Office TOCH,Location/PH0102802012,HEALTH_FACILITY
3cjZt5Asq3P,Libtong Office ZSPG,Location/PH0102802013,CRVS_OFFICE
cHJd6nRPpLc,Libtong Office STAM,Location/PH0102802013,CRVS_OFFICE
51uRiOGJJPF,Libtong Office AGVK,Location/PH0102802013,HEALTH_FACILITY
ODYKdMeyLBU,Macupit Office CVWX,Location/PH0102802014,HEALTH_FACILITY
ohSe0abR6NU,Nambaran Office MMOH,Location/PH0102802015,HEALTH_FACILITY
9w0uhgHSkbX,Nambaran Office IYCV,Location/PH0102802015,CRVS_OFFICE
FxsyIWuD0Eu,Nambaran Office VABW,Location/PH0102802015,CRVS_OFFICE
o9E8Jb2eR7e,Natba Office KOTH,Location/PH0102802016,CRVS_OFFICE
iHZuUkOwhuE,Paninaan Office RBCW,Location/PH0102802017,HEALTH_FACILITY
JGCzBYVvXSd,Pasiocan Office QGRB,Location/PH0102802018,CRVS_OFFICE
DnclDsamdh8,Pasngal Office VXRK,Location/PH0102802019,CRVS_OFFICE
cGKZaQOyvLM,Pipias Office FUTQ,Location/PH0102802020,CRVS_OFFICE
mZxcj8CTpHS,Pipias Office DRJJ,Location/PH0102802020,CRVS_OFFICE
Df3aY8UHulR,Pipias Office MTDS,Location/PH0102802020,HEALTH_FACILITY
R7hrsMjZbSa,Pulangi Office KEUQ,Location/PH0102802021,HEALTH_FACILITY
ec7LZeUmflt,Pulangi Office CLBM,Location/PH0102802021,CRVS_OFFICE
8eEA4pxq6GO,Pungto Office SNEE,Location/PH0102802022,CRVS_OFFICE
58MRHKzYWHc,Pungto Office NSCB,Location/PH0102802022,HEALTH_FACILITY
wvJfVfuDtQm,Pungto Office OVML,Location/PH0102802022,HEALTH_FACILITY
