adminPcode,name,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024
COK-001,Rarotonga,500,500,1000,10
COK-002,Aitutaki,500,500,1000,10
COK-003,Atiu,500,500,1000,10
COK-004,Mauke,500,500,1000,10
COK-005,Mitiaro,500,500,1000,10
COK-006,Mangaia,500,500,1000,10
COK-007,Palmerston,500,500,1000,10
COK-008,Manihiki,500,500,1000,10
COK-009,Rakahanga,500,500,1000,10
COK-010,Penrhyn (Tongareva),500,500,1000,10
COK-011,Pukapuka,500,500,1000,10
COK-012,Nassau,500,500,1000,10
COK-013,Suwarrow,500,500,1000,10
COK-014,Takutea,500,500,1000,10
COK-015,Manuae,500,500,1000,10
