statisticalID,name,partOf,code,physicalType
oEBf29y8JP8,Chibombo,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
HPGiE9Jjh2r,Chisamba,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
BxrIbNW7f3K,Chitambo,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
SQT8xjbvWwf,Itezhi-tezhi,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
sNAdEeUXVUz,Kabwe,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
i28jnGjQN10,Kapiri-Mposhi,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
hPzLRPGQhyk,Luano,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
kbRJIC4LHCT,Mkushi,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
tbIRVsMQUdg,Mumbwa,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
ELt9FU92XZD,Ngabwe,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
n0CXsSP6Esm,Serenje,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
sLIHwiFp41i,Chililabombwe,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
y3gZjiNvEhh,Chingola,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
d9vCXNPwvvL,Kalulushi,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
b2Cgyi4BuiO,Kitwe,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
b5QDzyFeLWd,Luanshya,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
kscNOUDO0XN,Lufwanyama,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
A9wU7lhL721,Masaiti,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
SfFrfySzRgY,Mpongwe,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
bhNMagz9WhD,Mufulira,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
G2nVDIpA0mE,Ndola,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
Vra182PfVXT,Chadiza,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
bPggpIUH2Bw,Chipata,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
Y5Qs8ZnXPo7,Katete,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
l7kwddqAUuV,Lundazi,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
eL16jL32aft,Mambwe,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
f2v64XQg4O6,Nyimba,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
