statisticalID,name,partOf,code,physicalType
oEBf29y8JP8,Ibombo,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
HPGiE9Jjh2r,Isamba,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
BxrIbNW7f3K,Itambo,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
SQT8xjbvWwf,Ezhi,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
sNAdEeUXVUz,Abwe,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
i28jnGjQN10,Piri,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
hPzLRPGQhyk,Uano,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
kbRJIC4LHCT,Kushi,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
tbIRVsMQUdg,Umbwa,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
ELt9FU92XZD,Gabwe,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
n0CXsSP6Esm,Renje,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
ntoX1PkiWri,Ilanga,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
SvFNQpplnch,Irundu,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
NLjvK1QsrN3,Zobwe,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
hywxVKv48Xp,Afue,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
MQrVneDhKKn,Angwa,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
o8B4Up9xxJI,Sulaka,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
X8wgqN4p9l9,Funsa,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
jNFgOiE4moz,Buyunji,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
QTtxiWj8ONP,Embe,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
Oapn6R4rt3D,Ienge,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
idR0pJWLqcR,Funabuli,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
jCJxK8sFH40,Pili,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
bjCC79pZC5f,Wambwa,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
oFvkx78MhC9,Unga,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
RXl1ctHnd1A,Ansa,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
bW1rTUYvPMz,Lenge,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
cLYG2oIinWU,Bombwe,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
na58mHU96zc,Wense,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
o0jgNBf8WkJ,Chelenge,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
ibwukc3IOtw,Amfya,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
ydyJb1RAy4U,Ama,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
nO68NTtcdw2,Nsali,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
FuvOOwvBw0p,Soka,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
R22tRIhdm5Y,Chibiya,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
FN09WGc823z,Shimanda,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
rsnNQkFGMcj,Finga,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
WUGwOojuXhn,Pika,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
VwikQC0hLMx,Konde,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
QZt3FzaOkx9,Wangandu,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
