id,description,en
action.action,Label for action button,Action
action.archive,Label for archive record button in dropdown menu,Archive declaration
action.assignee,Label for asignee,Assigned to {name } at {officeName}
action.correct,Label for correct record button in dropdown menu,Correct record
action.issue,Label for reinstate issue button in dropdown menu,Issue certificate
action.print,Label for reinstate print button in dropdown menu,Print certified copy
action.reinstate,Label for reinstate record button in dropdown menu,Reisntate declaration
action.review.correction,Label for review correction in dropdown menu,Review correction request
action.review.declaration,Label for review declaration button in dropdown menu,"Review {isDuplicate, select, true{potential duplicate} other{declaration}}"
action.update,Label for reinstate update button in dropdown menu,Update declaration
action.view,Label for view button in dropdown menu,View {recordOrDeclaration}
advancedSearch.accordion.hide,Label for hide button when accordion is closed,Hide
advancedSearch.accordion.show,Label for show button when accordion is closed,Show
advancedSearch.form.childDetails,The title of Child details accordion,Child details
advancedSearch.form.dateOfRegistration,Label for input date of registration,Date of registration
advancedSearch.form.deceasedDetails,The title of Deceased details accordion,Deceased details
advancedSearch.form.eventDetails,The title of event details accordion,Event details
advancedSearch.form.fatherDetails,The title of Father details accordion,Father details
advancedSearch.form.informantDetails,The title informant details form,Informant details
advancedSearch.form.motherDetails,The title of Mother details accordion,Mother details
advancedSearch.form.placeOfRegistration,Label for input Place of registration,Place of registration
advancedSearch.form.placeOfRegistrationHelperText,Helper text for input Place of registration,"Search for a province, district or registration office"
advancedSearch.form.recordStatusAchived,Option for form field: status of record,Archived
advancedSearch.form.recordStatusAny,Option for form field: status of record,Any status
advancedSearch.form.recordStatusCertified,Option for form field: status of record,Certified
advancedSearch.form.recordStatusCorrectionRequested,Option for form field: status of record,Correction requested
advancedSearch.form.recordStatusInReview,Option for form field: status of record,In review
advancedSearch.form.recordStatusInprogress,Option for form field: status of record,In progress
advancedSearch.form.recordStatusRegistered,Option for form field: status of record,Registered
advancedSearch.form.recordStatusRequireUpdate,Option for form field: status of record,Requires updates
advancedSearch.form.recordStatusValidated,Option for form field: status of record,Validated
advancedSearch.form.registrationDetails,The title of Registration details accordion,Registration details
advancedSearch.form.statusOfRecordLabel,Label for input Status of record,Status of record
advancedSearch.form.timePeriodHelperText,Helper text for input Time period,Period of time since the record status changed
advancedSearch.form.timePeriodLabel,Label for input Time period,Time period
advancedSearchResult.pill.childDoB,The label for child d.o.b in active advancedSearchParams,Child d.o.b
advancedSearchResult.pill.childFirstName,The label for child firstname in active advancedSearchParams,Child firstname
advancedSearchResult.pill.childLastName,The label for child lastname in active advancedSearchParams,Child lastname
advancedSearchResult.pill.deceasedDoB,The label for deceased d.o.b in active advancedSearchParams,Deceased d.o.b
