id,description,en
action.action,Label for action button in dropdown menu,Action
action.archive,Label for archive record button in dropdown menu,Archive Record
action.assignee,Label for assignee,Assigned to {name} at {officeName}
action.correct,Label for correct record button in dropdown menu,Correct Record
action.issue,Label for issue certificate in dropdown menu,Issue certificate
action.noActionsAvailable,No actions available message,No actions available
action.print,Label for print certified copy in dropdown menu,Print certified copy
action.reinstate,Label for reinstate record button in dropdown menu,Reinstate Record
action.review.correction,Label for review correction request button in dropdown menu,Review correction request
action.review.declaration,Label for review record button in dropdown menu,"Review {isDuplicate, select, true{potential duplicate} other{declaration}}"
action.update,Label for update record button in dropdown menu,Update declaration
action.view,Label for view button in dropdown menu,View {recordOrDeclaration}
actionModal.cancel,The label for cancel button of action modal,Cancel
actionModal.confirm,The label for confirm button of action modal,Confirm
actionModal.description,The description for action modal,The informant will be notified of this decision and a record of this decision will be recorded.
actions.edit,Edit action label,Edit
actions.notify,Notify action label,Notify
actions.read,Action label for reading a record from the workqueue,Review
advancedSearch.accordion.hide,Label for hide button when accordion is closed,Hide
advancedSearch.accordion.show,Label for show button when accordion is closed,Show
advancedSearch.form.childDetails,The title of Child details accordion,Child details
advancedSearch.form.dateOfRegistration,Label for input date of registration,Date of registration
advancedSearch.form.deceasedDetails,The title of Deceased details accordion,Deceased details
advancedSearch.form.eventDetails,The title of event details accordion,Event details
advancedSearch.form.fatherDetails,The title of Father details accordion,Father details
advancedSearch.form.informantDetails,The title informant details form,Informant details
advancedSearch.form.motherDetails,The title of Mother details accordion,Mother details
advancedSearch.form.placeOfRegistration,Label for input Place of registration,Place of registration
advancedSearch.form.placeOfRegistrationHelperText,Helper text for input Place of registration,"Search for a province, district or registration office"
advancedSearch.form.recordStatusAchived,Option for form field: status of record,Archived
advancedSearch.form.recordStatusAny,Option for form field: status of record,Any status
advancedSearch.form.recordStatusArchived,Option for form field: status of record,Archived
advancedSearch.form.recordStatusCertified,Option for form field: status of record,Certified
advancedSearch.form.recordStatusCorrectionRequested,Option for form field: status of record,Correction requested
advancedSearch.form.recordStatusDeclared,Option for form field: status of record,Declared
advancedSearch.form.recordStatusInReview,Option for form field: status of record,In review
advancedSearch.form.recordStatusInprogress,Option for form field: status of record,In progress
advancedSearch.form.recordStatusNotified,Option for form field: status of record,Notified
advancedSearch.form.recordStatusRegistered,Option for form field: status of record,Registered
