id,description,en
actions.edit,This is shown as the action name anywhere the user can trigger the action from,Edit
advancedSearch.form.childDetails,The title of Child details accordion,Child details
advancedSearch.form.deceasedDetails,The title of Deceased details accordion,Deceased details
advancedSearch.form.eventDetails,The title of Event details accordion,Event details
advancedSearch.form.fatherDetails,The title of Father details accordion,Father details
advancedSearch.form.informantDetails,The title of Informant details accordion,Informant details
advancedSearch.form.motherDetails,The title of Mother details accordion,Mother details
advancedSearch.form.registrationDetails,The title of Registration details accordion,Registration details
birth.search.criteria.label.prefix.child,Child prefix,Child's
birth.search.criteria.label.prefix.father,Father prefix,Father's
birth.search.criteria.label.prefix.informant,Informant prefix,Informant's
birth.search.criteria.label.prefix.mother,Mother prefix,Mother's
certificates.birth.certificate,The label for a birth certificate,Birth Certificate copy
certificates.birth.certificate.copy,The label for a birth certificate,Birth Certificate certified copy
certificates.birth.registration.receipt,The label for a birth registration receipt,Birth Registration Receipt
certificates.death.certificate,The label for a death certificate,Death Certificate copy
certificates.death.certificate.copy,The label for a death certificate,Death Certificate certified copy
certificates.marriage.certificate,The label for a marriage certificate,Marriage Certificate
certificates.marriage.certificate.copy,The label for a marriage certificate,Marriage Certificate certified copy
certificates.tennis-club-membership.certificate.alpha,The label for a tennis club membership certificate for alpha print button testing,Tennis Club Membership Certificate Alpha
certificates.tennis-club-membership.certificate.certified-copy,The label for a tennis-club-membership certificate,Tennis Club Membership Certificate certified copy
certificates.tennis-club-membership.certificate.copy,The label for a tennis-club-membership certificate,Tennis Club Membership Certificate copy
certificates.tennis-club-membership.certificate.multipage,The label for a tennis club membership certificate,Tennis Club Membership Certificate Multipage
correction.corrector.anotherAgent,Label for another registration or field agent option in certificate correction form,Another registration agent or field agent
correction.corrector.identity.instruction,The title for the corrector form,Please verify the identity of the person making this request
correction.corrector.identity.verified,Label for verified option in corrector identity check page,I have verified their identity
correction.corrector.identity.verified.label,The title for the corrector form,Identity verified
correction.corrector.me,Label for registrar option in certificate correction form,Me (Registrar)
correction.corrector.others,Label for someone else option in certificate correction form,Someone else
correction.corrector.paragraph.title,The title for the corrector form,"For all record corrections at a minimum an affidavit must be provided. For material errors and omissions eg. in paternity cases, a court order must also be provided."
correction.corrector.title,The title for the corrector form,Who is requesting a change to this record?
correction.reason.title,The title for the corrector form,Reason for correction?
correction.requester.relationshop.intro.label,The title for the corrector form,Note: In the case that the child is now of legal age (18) then only they should be able to request a change to their birth record.
correction.supportingDocuments.attest.label,,I attest to seeing supporting documentation and have a copy filed at my office
correction.supportingDocuments.notNeeded.label,,No supporting documents required
death.search.criteria.label.prefix.deceased,Deceased prefix,Deceased's
death.search.criteria.label.prefix.informant,Informant prefix,Informant's
error.child.weightAtBirth.invalidNumberRange,This is the error message for invalid number range,Must be within 0 and 6
error.invalidInput,Error message when generic field is invalid,Invalid input
error.invalidName,This is the error message for invalid name,"Input contains invalid characters. Please use only letters (a-z, A-Z), numbers (0-9), hyphens (-) and apostrophes(')"
error.invalidNationalId,This is the error message for an invalid national ID,The national ID can only be numeric and must be 10 digits long
event.action.declare.form.section.person.field.age.error,Error message for invalid age,Age must be between 12 and 120
event.birth.action.Read.label,This is shown as the action name anywhere the user can trigger the action from,Read
event.birth.action.approve.audit-history-label,The label to show in audit history for the approve action,Approved
event.birth.action.approve.confirmationText,This is the confirmation text for the approve action,Approving this declaration confirms it as legally accepted and eligible for registration.
event.birth.action.approve.label,This is shown as the action name anywhere the user can trigger the action from,Approve
event.birth.action.archive.label,This is shown as the action name anywhere the user can trigger the action from,Archive
event.birth.action.certificate.form.cancel,This is the label for the verification cancellation button,Identity does not match
event.birth.action.certificate.form.cancel.confirmation.body,This is the body for the verification cancellation modal,"Please be aware that if you proceed, you will be responsible for issuing a certificate without the necessary proof of ID from the collector"
event.birth.action.certificate.form.cancel.confirmation.title,This is the title for the verification cancellation modal,Print without proof of ID?
event.birth.action.certificate.form.label,This is what this form is referred as in the system,Birth certificate collector
event.birth.action.certificate.form.section.collectPayment.data.label,Title for the data section,Payment details
event.birth.action.certificate.form.section.collectPayment.fee.label,Title for the data entry,Fee
event.birth.action.certificate.form.section.collectPayment.service.label,Title for the data entry,Service
event.birth.action.certificate.form.section.collectPayment.service.label.afterLateRegistrationTarget,Birth registration after 365 days of date of birth message,Birth registration after 365 days of date of birth
event.birth.action.certificate.form.section.collectPayment.service.label.beforeRegistrationTarget,Birth registration before 30 days of date of birth message,Birth registration before 30 days of date of birth
event.birth.action.certificate.form.section.collectPayment.service.label.inBetweenRegistrationTargets,Birth registration after 30 days but before 365 days of date of birth message,Birth registration after 30 days but before 365 days of date of birth
event.birth.action.certificate.form.section.requester.father.label,This is the label for the field,Print and issue to Father
event.birth.action.certificate.form.section.requester.label,This is the label for the field,Requester
event.birth.action.certificate.form.section.requester.mother.label,This is the label for the field,Print and issue to Mother
event.birth.action.certificate.form.section.requester.other.label,This is the label for the field,Print and issue to someone else
