id,description,fr
actions.edit,This is shown as the action name anywhere the user can trigger the action from,Modifier
advancedSearch.form.childDetails,The title of Child details accordion,information de l'enfant
advancedSearch.form.deceasedDetails,The title of Deceased details accordion,information du défunt
advancedSearch.form.eventDetails,The title of Event details accordion,Détails de l'évènement
advancedSearch.form.fatherDetails,The title of Father details accordion,Information du père
advancedSearch.form.informantDetails,The title of Informant details accordion,information de l'informateur
advancedSearch.form.motherDetails,The title of Mother details accordion,Information de la mère
advancedSearch.form.registrationDetails,The title of Registration details accordion,Détails d'inscription
birth.search.criteria.label.prefix.child,Child prefix,De l'enfant
birth.search.criteria.label.prefix.father,Father prefix,Du père
birth.search.criteria.label.prefix.informant,Informant prefix,Du déclarant
birth.search.criteria.label.prefix.mother,Mother prefix,De la mère
certificates.birth.certificate,The label for a birth certificate,Acte de naissance
certificates.birth.certificate.copy,The label for a birth certificate,Copie certifiée conforme de l'acte de naissance
certificates.birth.registration.receipt,The label for a birth registration receipt,Reçu d'enregistrement de naissance
certificates.death.certificate,The label for a death certificate,Certificat de décès
certificates.death.certificate.copy,The label for a death certificate,Copie certifiée conforme du certificat de décès
certificates.marriage.certificate,The label for a marriage certificate,Acte de mariage
certificates.marriage.certificate.copy,The label for a marriage certificate,Copie certifiée conforme de l'acte de mariage
certificates.tennis-club-membership.certificate.alpha,The label for a tennis club membership certificate for alpha print button testing,
certificates.tennis-club-membership.certificate.certified-copy,The label for a tennis-club-membership certificate,
certificates.tennis-club-membership.certificate.copy,The label for a tennis-club-membership certificate,
certificates.tennis-club-membership.certificate.multipage,The label for a tennis club membership certificate,
correction.corrector.anotherAgent,Label for another registration or field agent option in certificate correction form,Un autre agent d'enregistrement ou un agent de terrain
correction.corrector.identity.instruction,The title for the corrector form,Please verify the identity of the person making this request
correction.corrector.identity.verified,Label for verified option in corrector identity check page,I have verified their identity
correction.corrector.identity.verified.label,The title for the corrector form,@todo
correction.corrector.me,Label for registrar option in certificate correction form,Moi
correction.corrector.others,Label for someone else option in certificate correction form,Quelqu'un d'autre
correction.corrector.paragraph.title,The title for the corrector form,"Pour toutes les corrections de dossiers, il faut au moins fournir un affidavit. Pour les erreurs matérielles et les omissions, par exemple dans les cas de paternité, une décision de justice doit également être fournie."
correction.corrector.title,The title for the corrector form,Qui demande une modification de ce dossier ?
correction.reason.title,The title for the corrector form,Quelle était la raison de la correction?
correction.requester.relationshop.intro.label,The title for the corrector form,"Note : Si l'enfant a atteint l'âge légal (18 ans), il est le seul à pouvoir demander une modification de son acte de naissance."
correction.supportingDocuments.attest.label,,Attestation
correction.supportingDocuments.notNeeded.label,,Non nécessaire
death.search.criteria.label.prefix.deceased,Deceased prefix,
death.search.criteria.label.prefix.informant,Informant prefix,Du déclarant
error.child.weightAtBirth.invalidNumberRange,This is the error message for invalid number range,Doit être compris entre 0 et 6
error.invalidInput,Error message when generic field is invalid,Entrée invalide
error.invalidName,This is the error message for invalid name,"L'entrée contient des caractères non valides. Veuillez n'utiliser que des lettres (a-z, A-Z), des chiffres (0-9), des traits d'union (-) et des apostrophes (')"
error.invalidNationalId,This is the error message for an invalid national ID,
event.action.declare.form.section.person.field.age.error,Error message for invalid age,L'auteur doit avoir entre 12 et 120 ans
event.birth.action.Read.label,This is shown as the action name anywhere the user can trigger the action from,Lire
event.birth.action.approve.audit-history-label,The label to show in audit history for the approve action,
event.birth.action.approve.confirmationText,This is the confirmation text for the approve action,L'approbation de cette déclaration confirme qu'elle est légalement acceptée et éligible à l'enregistrement.
event.birth.action.approve.label,This is shown as the action name anywhere the user can trigger the action from,Approuver
event.birth.action.archive.label,This is shown as the action name anywhere the user can trigger the action from,Aarchiver
event.birth.action.certificate.form.cancel,This is the label for the verification cancellation button,L'identité ne correspond pas
event.birth.action.certificate.form.cancel.confirmation.body,This is the body for the verification cancellation modal,"Veuillez noter que si vous continuez, vous serez responsable de la délivrance d'un certificat sans la preuve d'identité nécessaire du collecteur."
event.birth.action.certificate.form.cancel.confirmation.title,This is the title for the verification cancellation modal,Imprimer sans preuve d'identité ?
