id,description,fr
authenticationCodeNotification,The SMS messsage that is sent continaing a 2-factor authentication code,Votre code d'authentification OpenCRVS est : {{code}}
birthDeclarationNotification,The SMS message that is sent to the parent for a birth declaration,Le numéro de suivi de l'enregistrement de la naissance de {{name}} est {{trackingId}}. Vous recevrez un SMS dans les 2 jours avec l'état d'avancement et les prochaines étapes.
birthInProgressNotification,The SMS message that is sent to the parent for a birth notification,L'ID de suivi de l'enregistrement de la naissance est {{trackingId}}. Vous devez vous rendre au {{crvsOffice}} pour effectuer la déclaration.
birthRegistrationNotification,The SMS message that is sent to the parent for a birth registration,"Félicitations, la naissance de {{name}} a été enregistrée. Rendez-vous au bureau d'état civil local dans 5 jours avec votre pièce d'identité pour retirer le certificat. Votre identifiant de suivi est {{trackingId}}."
birthRejectionNotification,The SMS message that is sent to the parent for a birth declaration rejection,Déclaration de naissance de {{name}} ( Tracking ID : {{trackingId}} ) a été rejetée. Veuillez consulter votre bureau d'état civil local pour plus d'informations.
deathDeclarationNotification,The SMS message that is sent to the parent for a death declaration,Le numéro de suivi de l'enregistrement du décès de {{name}} est {{trackingId}}. Vous recevrez un SMS dans les 2 jours avec l'état d'avancement et les prochaines étapes.
deathInProgressNotification,The SMS message that is sent to the parent for a death notification,L'ID de suivi de l'enregistrement du décès est {{trackingId}}. Vous devez vous rendre au {{crvsOffice}} pour compléter la déclaration.
deathRegistrationNotification,The SMS message that is sent to the parent for a death registration,Le décès de {{name}} a été enregistré. Rendez-vous au bureau d'état civil local dans 5 jours avec votre pièce d'identité pour retirer le certificat. Votre identifiant de suivi est {{trackingId}}.
deathRejectionNotification,The SMS message that is sent to the parent for a death declaration rejection,Déclaration de décès de {{name}} ( Tracking ID : {{trackingId}} ) a été rejetée. Veuillez consulter votre bureau d'état civil local pour plus d'informations.
resetUserPasswordByAdminNotification,The SMS message that is sent to a user when admin resets their password,Votre mot de passe a été réinitialisé. Veuillez vous connecter à {{applicationName}} avec le mot de passe temporaire : {{temporaryPassword}}.
resetUserPasswordNotification,The SMS message that is sent to a user when they reset password,Utilisez le code {{code}} pour réinitialiser votre mot de passe {{applicationName}}. Ce code expire dans 10 minutes.
retieveUserNameNotification,The SMS message that is sent to a user containing a username,Votre nom d'utilisateur pour OpenCRVS est : {{username}}
updateUserNameNotification,The SMS message that is sent to a user to confirm an updated username,Votre nom d'utilisateur pour OpenCRVS a été mis à jour en : {{newUsername}}. Votre mot de passe n'a pas changé.
userCredentialsNotification,The SMS message that is sent to a new user with a username and passowrd,Votre compte OpenCRVS a été créé. Veuillez vous connecter avec votre nom d'utilisateur : {{username}} et votre mot de passe temporaire : {{temporaryPassword}}.
